alcohol_*C1_electrostatic_charge,alcohol_*C1_exposed_area,alcohol_electronegativity,alcohol_primary,alcohol_secondary,alcohol_tertiary,alcohol_cyclic ,alcohol_4-membered_ring,alcohol_5-membered_ring,alcohol_6-membered_ring,alcohol_7-membered_ring,alcohol_benzylic,alcohol_allylic,alcohol_homobenzylic,alcohol_homoallylic,alcohol_alpha-carbonyl,alcohol_beta_carbonyl,alcohol_hemiacetal,alcohol_alpha amino,base_*N1_exposed_area,sulfonyl_fluoride_*S1_electrostatic_charge,sulfonyl_fluoride_*F1_electrostatic_charge,sulfonyl_fluoride_*O1_electrostatic_charge
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43

0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43

0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43

0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.21,-0.439

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.849,-0.198,-0.401

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.978,-0.208,-0.436

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.204,-0.43

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.926,-0.162,-0.384

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.21,-0.439

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.849,-0.198,-0.401

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.978,-0.208,-0.436

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.204,-0.43

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.926,-0.162,-0.384

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.21,-0.439

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.849,-0.198,-0.401

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.978,-0.208,-0.436

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.204,-0.43

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.926,-0.162,-0.384

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.21,-0.439

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.849,-0.198,-0.401

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.978,-0.208,-0.436

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.204,-0.43

-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.926,-0.162,-0.384

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.21,-0.439

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.849,-0.198,-0.401

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.978,-0.208,-0.436

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.204,-0.43

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.926,-0.162,-0.384

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.21,-0.439

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.849,-0.198,-0.401

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.978,-0.208,-0.436

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.204,-0.43

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.926,-0.162,-0.384

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.21,-0.439

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.849,-0.198,-0.401

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.978,-0.208,-0.436

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.204,-0.43

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.926,-0.162,-0.384

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.21,-0.439

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.849,-0.198,-0.401

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.978,-0.208,-0.436

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.204,-0.43

-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.926,-0.162,-0.384

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43

0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43

0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439

0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401

